;rooms;bathrooms;value_price_clp;value_price_currency_clp;value_price_uf;value_price_currency_uf;parking;url;type_action;type_property;type_province;latitude;longitude;page;region;type_searching;type_house;date_publish;code_publication;img_element;Unnamed: 0
1365;4.0;2.0;990.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/isla-de-maipo/casa/isla-de-maipo/13956262;Arriendo Mensual;Casa;Isla de Maipo;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13956262;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/isla-de-maipo/0/662812fe0f15459a95486db60d2a1ad4.jpeg;1304.0
1366;6.0;5.0;;;119.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/casa/camino-la-fuente/13956190;Arriendo Mensual;Casa;Las Condes;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13956190;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/las-condes/0/a49d7874c7774ee7ad705b7252f3ad20.jpeg;1305.0
1367;4.0;3.0;;;130.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/casa/camino-la-fuente/13944557;Arriendo Mensual;Casa;Las Condes;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13944557;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/las-condes/0/7539a1b0c5164712b1c1cefc4cfa97cf.jpeg;1306.0
1368;4.0;3.0;;;60.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/penalolen/casa/avenida-diagonal-las-torres/13940144;Arriendo Mensual;Casa;Peñalolén;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13940144;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/penalolen/0/501d636fd8c14e8d8bdab7e2771fe00b.jpeg;1307.0
1369;5.0;6.0;;;150.0;UF;12.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/casa/pedro-lira-urquieta/13924703;Arriendo Mensual;Casa;Lo Barnechea;;;112;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13924703;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/lo-barnechea/0/6caca64722494411ab7f57edc86a25c1.jpeg;1308.0
1370;5.0;7.0;;;115.0;UF;4.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/casa/carlos-pena-otaegui-francisco-bulnes-correa/13924612;Arriendo Mensual;Casa;Las Condes;;;113;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13924612;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/las-condes/0/3b3f54081cdb4bbb98e62a37d235a95f.jpeg;1309.0
1371;4.0;;;;170.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/las-condes/casa/san-carlos-apoquindo/13919719;Arriendo Mensual;Casa;Las Condes;;;113;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13919719;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/las-condes/0/aa4513ae36f249739bdbb118929cae1d.jpeg;1310.0
1372;8.0;7.0;5.000.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/vitacura/casa/lo-curro/13919625;Arriendo Mensual;Casa;Vitacura;;;113;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13919625;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/vitacura/0/12a02d526e2b4356af824ce0bf1a47db.jpeg;1311.0
1373;4.0;4.0;;;150.0;UF;3.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/casa/golf-manquehue-pasos-santiago-college/13918612;Arriendo Mensual;Casa;Lo Barnechea;;;113;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13918612;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/lo-barnechea/0/9c17c0c4399f42f49e22b6ef838db2af.jpeg;1312.0
1374;6.0;6.0;5.300.000;$;;;3.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/casa/santuario-del-valle/13918069;Arriendo Mensual;Casa;Lo Barnechea;;;113;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13918069;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/lo-barnechea/0/4492a3b8fd974d2eb445ca618e25ce31.jpeg;1313.0
1375;5.0;6.0;;;133.0;UF;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/lo-barnechea/casa/santuario-del-valle/13917841;Arriendo Mensual;Casa;Lo Barnechea;;;113;region-metropolitana-de-santiago-rm;arriendo-mensual;casa;05/04/2023;13917841;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/casa/lo-barnechea/0/6ae183236fa349ce97b21693d18a8c36.jpeg;1314.0
1376;2.0;2.0;420.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/estacion-central/departamento/placilla-149/16984106;Arriendo Mensual;Departamento;Estación Central;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;31/05/2023;16984106;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/estacion-central/0/9bf51c229f684712968f9e7b0e44d36b.jpeg;1315.0
1377;1.0;1.0;430.000;$;;;1.0;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/nunoa/departamento/metro-irarrazabal/16829164;Arriendo Mensual;Departamento;Ñuñoa;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;27/05/2023;16829164;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/nunoa/0/6fc27ca440434837be56eba0f24a741c.jpeg;1316.0
1378;1.0;1.0;300.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/independencia/departamento/av-domingo-santa-maria-av-vivaceta/16812859;Arriendo Mensual;Departamento;Independencia;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;27/05/2023;16812859;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/independencia/0/56995542de3d4480b13d27386a2f50d0.jpeg;1317.0
1379;2.0;1.0;360.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/san-isidro-10-de-julio/16556983;Arriendo Mensual;Departamento;Santiago;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;23/05/2023;16556983;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/santiago/0/13d3039ca3d34e82ac864f5170321a97.jpeg;1318.0
1380;3.0;1.0;165.000;$;;;;https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/san-miguel/departamento/san-petersburgo-6351/15990929;Arriendo Mensual;Departamento;San Miguel;;;602;region-metropolitana-de-santiago-rm;arriendo-mensual;departamento;12/05/2023;15990929;https://cf.chilepropiedades.cl/imagenes/publicacion/arriendo-mensual/departamento/san-miguel/0/5a55000e7b71407da996e03f3c29cbb4.jpeg;1319.0
